DOI,Abstract,Label,n_chars,word_count,contains_ML,contains_DL,contains_NN,contains_AI,contains_PM,baseline_pred
10.1038/s41598-020-64506-2,"in this paper, the annually average defense meteorological satellite program-operational linescan system (dmsp/ols) night-time light data is first proposed as a surrogate indicator to mine and forecast the average housing prices in the inland capital cities of china. first, based on the time-series analysis of individual cities, five regression models with gross error elimination are established between average night-time light intensity (anli) and average commercial residential housing price (acrhp) adjusted by annual inflation rate or not from 2002 to 2013. next, an optimal model is selected for predicting the acrhps in 2014 of these capital cities, and then verified by the interval estimation and corresponding official statistics. finally, experimental results show that the quadratic polynomial regression is the optimal mining model for estimating the acrhp without adjustments in most provincial capitals and the predicted acrhp of these cities are almost in their interval estimations except for the overrated chengdu and the underestimated wuhan, while the adjusted acrhp is all in prediction interval. overall, this paper not only provides a novel insight into time-series acrhp data mining based on time-series anli for capital city scale but also reveals the potentiality and mechanism of the comprehensive anli to characterize the complicated acrhp. besides, other factors influencing housing prices, such as the time-series lags of government policy, are tested and analysed in this paper.",0,1512,221,0,0,0,0,0,0
10.1371/journal.pone.0237672,"climate change has become intertwined with the global economy. here, we describe the contribution of inertia to future trends. drawing from thermodynamic principles, and using 38 years of available statistics between 1980 to 2017, we find a constant scaling between current rates of world primary energy consumption [formula: see text] and the historical time integral w of past world inflation-adjusted economic production y, or [formula: see text]. in each year, over a period during which both [formula: see text] and w more than doubled, the ratio of the two remained nearly unchanged, that is [formula: see text] gigawatts per trillion 2010 us dollars. what this near constant implies is that current growth trends in energy consumption, population, and standard of living, perhaps counterintuitively, are determined by past innovations that have improved the economic production efficiency, or enabled use of less energy to transform raw materials into the makeup of civilization. current observed growth rates agree well with predictions derived from available historical data. future efforts to stabilize carbon dioxide emissions are likely also to be constrained by the contributions of past innovation to growth. assuming no further efficiency gains, options look limited to rapid decarbonization of energy consumption through sustained implementation of at least one gigawatt of renewable or nuclear power capacity per day. alternatively, with continued reliance on fossil fuels, civilization could shift to a steady-state economy, one that devotes economic production exclusively to maintining ongoing metabolic needs rather than to material expansion. even if such actions could be achieved immediately, energy consumption would continue at its current level, and atmospheric carbon dioxide concentrations would only begin to balance natural sinks at concentrations exceeding 500 ppmv.",0,1898,277,0,0,0,0,0,0
10.2139/ssrn.3042952,"this paper studies the joint dynamics of real time u.s. inflation and the mean inflation predictions of the survey of professional forecasters (spf) on a 1968q4 to 2017q2 sample. the joint data generating process (dgp) is an unobserved components (uc) model of inflation and a sticky information (si) prediction mechanism for spf inflation predictions. we add drifting gap inflation persistence to a uc model that already has stochastic volatility (sv) afflicting trend and gap inflation. another innovation puts a time-varying frequency of inflation forecast updating into the si-prediction mechanism. the joint dgp is a nonlinear state space model (ssm). we estimate the ssm using bayesian tools grounded in a rao-blackwellized auxiliary particle filter, particle learning, and a particle smoother. the estimates show (i) longer horizon average spf inflation predictions inform estimates of trend inflation, (ii) gap inflation persistence is pro-cyclical, and si inflation updating is frequent before the volcker disinflation, and (iii) subsequently, trend inflation and its sv fall, gap inflation persistence turns counter-cyclical, and si inflation updating becomes infrequent.",0,1181,170,0,0,0,0,0,0
https://ssrn.com/abstract=1557280,"ebri's biannual policy forum: this issue brief summarizes presentations at ebri's 65th biannual policy forum, held in washington, dc, on dec. 10, 2009, on the topic, ""employers, workers, and the future of employment-based health benefits."" the forum brought together a wide range of economic, benefits, management, and labor experts to share their expertise at a time when major health reform legislation was being debated in congress. the focus: how might this affect the way that the vast majority of americans currently get their health insurance coverage? the employment-based health insurance system: most people who have health insurance coverage in the united states get it through their job: in 2008, about 61 percent of the nonelderly population had employment-based health benefits, 19 percent were covered by public programs, 6 percent had individual coverage, and 17 percent were uninsured. differences, agreements: not surprisingly, given the deep conflicts that exist over president obama's health reform plan and the different bills that have passed the house and senate, benefits experts also do not agree on what ""health reform"" will mean for either workers or employers. views ranged from ""will anyone notice?"" to predictions of great upheaval for workers and their employers, patients and health care providers, and the entire u.s. health care system. one point of consensus among both labor and management representatives: imposing a tax on health benefits is likely to cause major cuts in health benefits and might result in structural changes in the employment-based benefits system. a common disappointment voiced at the forum was that the initial effort to reform the delivery and cost of health care in america gradually became focused on just financing and coverage of health insurance. recent trends: the ever-rising cost of health insurance affects different employers and workers in different ways--with small employers and low-wage workers being the most disadvantaged. with health premiums having risen almost five times as much as the overall rate of inflation since 2000, employers face unsustainable cost increases in health benefits. for a minimum-wage worker, the cost of family coverage (averaging about $13,700 a year in a small firm) exceeds their total annual income (about $11,500 a year). small employers, if they offer health benefits at all, pay proportionately more than large employers for the same health coverage. public opinion: as reflected by the debate in congress, the american public has conflicted opinions on both the u.s. health care system and on reform: surveys find that people tend to be satisfied with the quality of their own care but not with costs and access, and a majority rates the system as fair or poor. opinions divide sharply along partisan lines. perspectives: while large employers tend to express continued commitment to health benefits, small employers see themselves strongly disadvantaged by the current system. consultants report many employers privately want to drop benefits to control costs, but realize there are risks to doing so and none wants to be first. employers express strong interest in wellness and disease management programs as a way to control costs, even though some experts say there is no evidence these work. consumer-driven health plans are expected to continue their slow rate of growth.",0,3389,526,0,0,0,0,0,0
10.1016/j.cbrev.2017.01.001,"expectations of inflation play a critical role in the process of price setting in the market. central banks closely follow developments in inflation expectations to implement a successful monetary policy. the central bank of the republic of turkey (cbrt) conducts a survey of experts and decision makers in the financial and real sectors to reveal market expectations and predictions of current and future inflation. the survey is conducted every month. this paper examines the accuracy of these survey predictions using forecast evaluation techniques. we focus on both point and sign accuracy of the predictions. although point predictions from cbrt surveys are compared with those of autoregressive models, sign predictions are evaluated on their value to a user. we also test the predictions for bias. unlike the empirical evidence from other economies, our results show that autoregressive models outperform most of inflation expectations in forecasting inflation. this indicates that inflation expectations have poor point forecast accuracies. however, we show that sign predictions for all inflation expectations have value to a user.",0,1140,170,0,0,0,0,0,0
10.23917/jep.v5i1.4030,"the purpose of the research is to know whether inflation influences economic growth or economic growth influence inflation and to know the final prediction error of long - term equilibrium relationship between inflation and economic growth. the hypothesis presented in this research is that inflation has negative influence on economic growth and economic growth has negative influence on inflation. it is assumed that the final prediction error of long - term equilibrium relationship between inflation and economic growth has negative influence, and the final prediction error of equilibrium relationship between economic growth and inflation has negative influence. the method used in this research is causality analysis of final prediction error (fpe) by using time series data of 1973 through 2002 taken from the body of statistic center (bps). it is conducted stationerity and causality test of fpe in this research. this research shows that there is one direction causality in which economic growth influences inflation.",0,1027,155,0,0,0,0,0,0
10.1109/cec.2007.4424790,"reserve bank of new zealand (rbnz) is one of many inflation-targeting central banks. the effective conduct of monetary policy requires the capacity to make accurate short and medium term predictions about price inflation. the rbnz's prediction system is very complex, requiring many iterations and significant input from human experts. this paper investigates the capability of genetic programming (gp) to predict price inflation over short and medium terms. by using un-preprocessed economic time series over small intervals, the experimental results demonstrate that gp can produce predictions of price inflation with accuracy comparable to the rbnz's official prediction system, over both short and medium terms.",1,715,103,0,0,0,0,0,0
10.1007/s12197-016-9354-x,"the fisher effect maintains that movements in short-term interest rates largely reflect changes in expected inflation. since expected inflation is subject to error, we ask whether interest rates move in response to over- and under-predictions of inflation. in answering, we measure expected inflation by the consumers’ forecast of inflation derived from the michigan surveys of consumers (msc). our findings for 1978–2013 indicate that the msc inflation forecasts were unbiased, efficient, and directionally accurate. for 1978–2007, (i) interest rates moved downward (upward) in response to msc over-predictions (under-predictions) of inflation, and (ii) msc inflation forecast errors had directional predictability for interest rates. however, no link between interest rate movements and msc inflation forecast errors is detected for 2008–2013 when monetary policy kept short-term interest rates unusually low.",0,911,126,0,0,0,0,0,0
10.1080/1331677x.2017.1314826,"the main aim of this study is to evaluate and improve the survey of professional forecasters (s.p.f.) quarterly inflation rate forecasts. according to the diebold–mariano test, on the horizon 1991:q1–2015:q1, there were no significant differences in accuracy between the four types of predictions provided by spf (mean forecasts, median predictions, predictions of financial service providers [f1] and predictions of non-financial service providers [f2]). the main contribution is given by the use of the algorithm for stochastic search variable selection in order to construct bayesian combined predictions. considering the horizon 2013:q1–2015:q1, the proposed bayesian combined predictions for rate of change in the quarterly average headline consumer price index (c.p.i.) level outperformed the initial experts’ expectations. the combined predictions based on the bayesian approach and principal component analysis for core inflation and personal consumption expenditures inflation improved the accuracy of s.p.f. predictions and naïve forecasts on the horizon 2015:q1–2016:q1.",0,1081,147,0,0,0,0,0,0
10.1111/j.1467-985x.2012.01061.x,"summary we use univariate and multivariate singular spectrum analyses to predict the rate of inflation as well as changes in the direction of inflation time series for the usa. we use consumer price indices and realtime chain-weighted gross domestic product price index series in these prediction exercises. moreover, we compare our out-of-sample, h-step-ahead moving prediction results with other prediction results based on methods such as the activity-based non-accelerating inflation rate of unemployment phillips curve, auto-regressive ar(p) model, the dynamic factors model and random-walk models with the last as a naive forecasting method. we use short-run (quarterly) and long-run (1–6 years) time windows for predictions and find that multivariate singular spectrum analysis outperforms all other competing prediction methods. also, we confirm the results of earlier studies that prediction of the rate of inflation in the usa during the period of the ‘great moderation’ is less challenging compared with the more volatile inflationary period of 1970–1985.",0,1066,154,0,0,0,0,0,0
10.1109/inocon57975.2023.10101073,"inflation is one of the main issues affecting the world economy right now, necessitating the accurate inflation prediction for the development of tools and policies by the monetary authorities to prevent extreme price volatility. expectations of inflation influence many financial and economic actions, and this dependence motivates economists to develop techniques for precise inflation forecasting. nearly everyone in the economy is impacted by inflation, including lending institutions, stock brokers, and corporate financial officials. in many cases, inflation determines whether a firm will accept a particular project or if banks will make a particular loan. these different economic actors can modify their financial portfolios, strategic goals, and upcoming investments if they are able to forecast changes in inflation rates. the multiple interaction economic components that depend on inflation will be better understood by economic agents operating in a business context if inflation forecasting accuracy is improved. there are numerous techniques to forecast inflation ranging from basic statistical methods to complex neural network methods. therefore, this paper employs lstm model to train and analyze the consumer price index (cpi) indicators to obtain inflation-related prediction results. the experimental results on historical data show that the statistical model has good performance in predicting india’s inflation rate compared to deep learning methods in case of smaller dataset.",1,1502,212,0,1,1,0,0,1
10.1109/isitia.2017.8124101,"severe inflation can cause a country's economic downturn. therefore, inflation needs to be controlled. one of inflation control conducted by the government is predicting and calculating inflation using cpi indicators on a monthly. prediction with monthly frequency, could be too late, because inflation has been a few days and it is not known quickly. with the development of internet technology today, various data sources related to inflation easily obtained in real-time. this data can be used for daily cpi prediction. daily predictions allow policy makers to make better policies. cpi prediction using daily data will face challenges. the growing variants and data volumes need good computing systems. cloud computing can be used to solve the problem. this is a preliminary research in developing daily cpi prediction model using big data and cloud computing. here we focus on developing a daily cpi prediction model using the support vector regression (svr) method in a cloud computing. for better accuracy, we compared the kernel functions of svr and tuning svr parameters using the grid search and random search method. in addition, we compared svr with the random forest method. these daily cpi predictions are simulated into cloud computing environments. from this simulation we show computation time and accuration comparisons needed if run on personal computers with cloud computing. the results showed that svr using rbf kernel has less mse value 0.3454 in monthly prediction and 0.0095 in daily predictions. and random forest result is slightly different than svr - rbf, mse value 0.0171 in daily prediction. experiment show that running cpi prediction have less time, for 1644 data need takes 522s than pc takes 837s.",1,1732,272,0,0,0,0,0,0
10.1002/jae.2784,"much research studies us inflation history with a trend‐cycle model with unobserved components, where the trend may be viewed as the fed's evolving inflation target or long‐horizon expected inflation. we provide a novel way to measure the slowly evolving trend and the cycle (or inflation gap), by combining inflation predictions from the survey of professional forecasters (spf) with realized inflation. the spf forecasts may be treated either as rational expectations (re) or updating according to a sticky information (si) law of motion. we estimate re and si state‐space models with stochastic volatility on samples of consumer price index and gross national product/gross domestic product deflator inflation and the associated spf inflation predictions using a particle metropolis–markov chain monte carlo sampler. the trend converges to 2% and its volatility declines over time—two tendencies largely complete by the late 1990s.",0,934,138,0,0,0,0,0,0
10.1080/13504850701578835,"this article tests the asymmetric information hypothesis using the cpi inflation forecasts of the federal reserve and consumers for the volatile inflationary period of 1979–1983. the fed generally over-predicted inflation, but consumers produced unbiased forecasts with superior predictive content. in fighting inflation, the fed was, perhaps, cautious by assigning much cost to under-predictions, but little or no cost to over-predictions. under such an asymmetric loss function, the bias in the federal reserve forecast of inflation appears to be rational. however, this explanation, while plausible, cannot be substantiated from the federal open market committee (fomc) transcripts.",0,685,95,0,0,0,0,0,0
10.18356/df5e9f55-en,"we examine the problem of combining mexican inflation predictions or projections provided by a biweekly survey of professional forecasters. consumer price inflation in mexico is measured twice a month. we consider several combining methods and advocate the use of dimension reduction techniques whose performance is compared with different benchmark methods, including the simplest average prediction. missing values in the database are imputed by two different databased methods. the results obtained are basically robust to the choice of the imputation method. a preliminary analysis of the data was based on its panel data structure and showed the potential usefulness of using dimension reduction techniques to combine the experts’ predictions. the main findings are: the first monthly predictions are best combined by way of the first principal component of the predictions available; the best second monthly prediction is obtained by calculating the median prediction and is more accurate than the first one.",1,1014,150,0,0,0,0,0,0
10.1162/003465303772815952,"did inflation targets reduce the level of expected inflation in australia, canada, new zealand, sweden, and the united kingdom? in this note, predictions of forecasts by professional forecasters are constructed for five consecutive 12-month periods after the announcement of targets. these predictions use a variety of information variables known to forecasters at the time they make their forecasts. the results show that, after the announcement of targets, predicted forecasts are less than actual forecasts in australia, canada, new zealand, and sweden. this is evidence that targets reduced the level of expected inflation. no evidence of such effects is found in the united kingdom.",0,687,103,0,0,0,0,0,0
10.2139/ssrn.1016574,"potential links between inflation and unemployment in canada have been examined. no consistent phillips curve has been found likely due to strong changes in monetary policy of the bank of canada. however, there were two distinct periods where linear links between inflation and unemployment could exist - before 1983 and after 1983. a linear and lagged relationship between inflation, unemployment and labor force has been obtained for canada. similar relationships were reported previously for the usa, japan, france and austria. changes in labor force level are simultaneously reflected in unemployment and lead inflation by two years. therefore this generalized relationship provides a two-year ahead natural prediction of inflation based on current estimates of labor force level and unemployment rate. the goodness-of-fit for the relationship is of 0.7 for the period since 1965, i.e. including the periods of high inflation and disinflation.",0,947,141,0,0,0,0,0,0
10.17016/ifdp.2003.780,"recent empirical work has considered the prediction of inflation by combining the information in a large number of time series. one such method that has been found to give consistently good results consists of simple equal weighted averaging of the forecasts over a large number of different models, each of which is a linear regression model that relates inflation to a single predictor and a lagged dependent variable. in this paper, i consider using bayesian model averaging for pseudo out-of-sample prediction of us inflation, and find that it gives more accurate forecasts than simple equal weighted averaging. this superior performance is consistent across subsamples and inflation measures. meanwhile, both methods substantially outperform a naive time series benchmark of predicting inflation by an autoregression.",0,822,123,0,0,0,0,0,0
10.2139/ssrn.235310,we examine the relationship between inflation and inflation uncertainty using a garch model that allows for simultaneous feedback between the conditional mean and variance of inflation. we also derive a number of theoretical econometric results and illustrate the relevance of these results with an empirical example of the us monthly inflation process. our results show that there is strong evidence in favour of a positive bi-directional relationship between inflation and inflation uncertainty in agreement with the predictions of economic theory.,0,550,80,0,0,0,0,0,0
10.2991/assehr.k.201010.013,"inflation is one of macroeconomics indicator can describe the economic development of the country. inflation is one of the important factors, the high inflation can disturb the economy a country so it has been concerned by the government. inflation can be caused by various factors, one of them come from the money supply. inflation in indonesia has a...",0,354,58,0,0,0,0,0,0
10.1007/978-3-642-38279-6_21,"the neuronal network, veritable instruments of optimal solution generating and diagnosis utilized in the field of artificial intelligence, tends to increase its spectrum of applicability reaching financial-banking predictions. this paper aims to achieve a study regarding the efficiency of applying neuronal networks, with different architectures, in the process of predicting inflation rates in romania. also, we will compare results estimated by applying neuronal networks with results obtained through predictions gained by applying classic econometric methods.",1,564,75,0,0,0,1,0,1
10.18267/j.pep.80,"in 1998 the czech national bank (cnb) changed its monetary policy framework and started to target inflation. the article discusses main theoretical aspects of inflation targeting and some practical problems with implementation of inflation targeting. the main characteristics of the inflation and monetary targeting are described in the first and second part. the third part deals with practical issues connected with inflation targeting (number of countries using inflation targeting, quality of inflation predictions, inflation and interest rate volatility). in the final part the cnb monetary policy function is estimated and the results are compared with the theoretical assumptions of the inflation targeting.",0,714,102,0,0,0,0,0,0
10.2139/ssrn.884954,"a two-country theoretical model is presented, showing the effects of monetary, fiscal, and supply-side disturbances on prices of primary commodities and manufactured goods, and on exchange rates. if monetary shocks dominate, then commodity prices should lead general price movements, and the level of commodity prices should be correlated with the general inflation rate. country-specific commodity price indexes are developed for the major industrial countries. several empirical tests broadly support the conclusions of the model. commodity price levels tend to be cointegrated with consumer-price inflation rates. commodity price movements contribute weakly to predictions of inflation rates but more strongly to predictions of turning points in inflation.",0,759,105,0,0,0,0,0,0
10.1002/for.1088,"recent empirical work has considered the prediction of inflation by combining the information in a large number of time series. one such method that has been found to give consistently good results consists of simple equal‐weighted averaging of the forecasts from a large number of different models, each of which is a linear regression relating inflation to a single predictor and a lagged dependent variable. in this paper, i consider using bayesian model averaging for pseudo out‐of‐sample prediction of us inflation, and find that it generally gives more accurate forecasts than simple equal‐weighted averaging. this superior performance is consistent across subsamples and a number of inflation measures. copyright © 2008 john wiley & sons, ltd.",0,750,115,0,0,0,0,0,0
10.2139/ssrn.1018168,"potential links between inflation, (t), and unemployment, ue(t), in germany have been examined. there exists a consistent (conventional) phillips curve despite some changes in monetary policy. this phillips curve is characterized by a negative relation between inflation and unemployment with the latter leading the former by one year: ue(t-1) = 1.50(t) + 0.116. effectively, growing unemployment has resulted in decreasing inflation since 1971, i.e. for the period where gdp deflator observations are available. the relation between inflation and unemployment is statistically reliable with r2=0.86, where unemployment spans the range from 0.01 to 0.12 and inflation, as represented by gdp deflator, varies from -0.01 to 0.07. a linear and lagged relationship between inflation, unemployment and labor force has been also obtained for germany. changes in labor force level are leading unemployment and inflation by five and six year, respectively. therefore this generalized relationship provides a natural prediction of inflation at a six-year horizon, as based upon current estimates of labor force level. the goodness-of-fit for the relationship is 0.87 for the period between 1971 and 2006, i.e. including the periods of high inflation and disinflation.",0,1259,184,0,0,0,0,0,0
10.3982/qe980,"this paper studies the joint dynamics of u.s. inflation and a term structure of average inflation predictions taken from the survey of professional forecasters (spf). we estimate these joint dynamics by combining an unobserved components (uc) model of inflation and a sticky‐information forecast mechanism. the uc model decomposes inflation into trend and gap components, and innovations to trend and gap inflation are affected by stochastic volatility. a novelty of our model is to allow for time‐variation in inflation‐gap persistence as well as in the frequency of forecast updating under sticky information. the model is estimated with sequential monte carlo methods that include a particle learning filter and a rao–blackwellized particle smoother. based on data from 1968                     q                     4 to 2018                     q                     3, estimates show that (i) longer horizon average spf inflation predictions inform estimates of trend inflation; (ii) inflation gap persistence is countercyclical before the volcker disinflation and acyclical afterwards; (iii) by 1990 sticky‐information inflation forecast updating is less frequent than it was earlier in the sample; and (iv) the drop in the frequency of the sticky‐information forecast updating occurs at the same time persistent shocks become less important for explaining movements in inflation. our findings support the view that stickiness in survey forecasts is not invariant to the inflation process.",0,1496,291,0,0,0,0,0,0
